name,number,latitude,longitude,color,bike
None,1,36.374325,127.387462,#E41A1C,14
무역전시관입구(택시승강장 앞),1,36.374325,127.387462,#E41A1C,14
대전컨벤션 센터 앞,2,36.374472,127.392241,#FFFF33,20
한밭수목원(정문입구),3,36.369855,127.388749,#FF7F00,19
초원아파트104동부근(버스정류장),4,36.368192,127.379281,#FF7F00,12
둔산대공원 입구(버스정류장),5,36.365034,127.389361,#FF7F00,13
백합4가 앞(농협앞),6,36.362304,127.376419,#FF7F00,12
정부청사 입구(대덕대로),7,36.361665,127.379699,#FF7F00,13
정부청사 입구(샘머리),8,36.361794,127.390417,#FF7F00,12
황실아파트앞(성룡초교 앞),9,36.361392,127.374236,#999999,12
만년동 KBS 부근(기업은행 앞),10,36.369207,127.379801,#984EA3,12
누리아파트앞(후문버스정류장),11,36.358995,127.374158,#984EA3,12
정부청사역 앞(4번 출구),12,36.357945,127.381749,#984EA3,13
삼천중학교 앞,13,36.358597,127.395406,#984EA3,12
둔산 하이마트 앞,14,36.355558,127.379243,#984EA3,20
둔산 홈플러스 앞,15,36.355591,127.390063,#984EA3,13
국화아파트앞(501동 앞),16,36.353776,127.395398,#377EB8,12
타임월드 앞 ,17,36.35219,127.378814,#377EB8,20
대전시청 앞,18,36.351132,127.384838,#377EB8,17
현대아이텔 앞(버스정류장),19,36.351344,127.388518,#377EB8,13
크로바아파트앞(목련아파트 사이 버스정류장)",20,36.351158,127.39193,#377EB8,12
카이스트 학사식당 앞,21,36.373457,127.359293,#377EB8,28
카이스트 창의학습관 앞,22,36.370263,127.362136,#377EB8,28
카이스트 정문,23,36.36617,127.363966,#377EB8,14
화폐박물관,24,36.376804,127.371004,#377EB8,12
카이스트 후문,25,36.374511,127.366894,#377EB8,13
엑스포 과학공원 주차장,26,36.37693,127.37875,#377EB8,13
엑스포 과학공원 앞,27,36.377146,127.379383,#4DAF4A,13
스마트시티,28,36.377927,127.390637,#4DAF4A,14
만년동주민센터,29,36.367511,127.375161,#4DAF4A,16
선사유적지주차장 앞,30,36.361967,127.379233,#4DAF4A,12
유성구청,31,36.361773,127.357485,#4DAF4A,20
홈플러스(유성점),32,36.359293,127.354503,#F781BF,20
월평역,33,36.358494,127.361197,#F781BF,20
진달래아파트앞,34,36.357889,127.365972,#F781BF,13
갈마역,35,36.35758,127.372055,#A65628,13
가람아파트앞,36,36.357513,127.396525,#E41A1C,13
수정타운아파트앞,37,36.357915,127.397638,#FFFF33,13
갑천역 1번출구,38,36.354558,127.35479,#FF7F00,13
패션월드 앞,39,36.351205,127.351928,#FF7F00,13
월평타운 앞,40,36.353767,127.359323,#FF7F00,13
대전일보 앞,41,36.35362,127.363193,#FF7F00,13
갈마1동 주민센터 앞,42,36.353422,127.367895,#FF7F00,12
둔산여고 앞,43,36.353331,127.374415,#FF7F00,13
을지대학병원 앞,44,36.354493,127.382811,#999999,13
청솔아파트앞,45,36.35137,127.398314,#984EA3,13
경성큰마을 앞,46,36.344785,127.379289,#984EA3,13
오페라웨딩홀 앞,47,36.348388,127.383141,#984EA3,12
대전종합고용지원센터,48,36.346582,127.385707,#984EA3,12
한국농어촌공사 앞,49,36.347204,127.390034,#984EA3,12
한가람아파트 앞,50,36.348151,127.390487,#984EA3,12
남선공원종합체육관 앞,51,36.347986,127.398035,#377EB8,10
유승기업사 앞,52,36.343476,127.381142,#377EB8,12
탄방지하차도 앞,53,36.342719,127.384753,#377EB8,12
궁동네거리,54,36.365025,127.338651,#377EB8,13
충대정문오거리 1,55,36.362446,127.344131,#377EB8,20
충대정문(장대네거리),56,36.361736,127.344994,#377EB8,18
한진오피스텔 앞,57,36.357928,127.342792,#377EB8,13
구암역 3번출구,58,36.356429,127.331122,#377EB8,13
유성온천역 6번출구,59,36.354262,127.341502,#377EB8,10
유성온천역 3번출구,60,36.353299,127.341132,#377EB8,13
만년교 앞,61,36.35213,127.346011,#377EB8,16
도안휴먼시아 1단지 앞,62,36.350259,127.340585,#4DAF4A,10
상대초교 앞,63,36.348384,127.335775,#4DAF4A,13
목련 1단지 앞,64,36.34828,127.330728,#4DAF4A,13
센트럴시티,65,36.348254,127.344085,#4DAF4A,15
휴먼시아 6단지 앞,66,36.345705,127.340362,#4DAF4A,11
한라비발디 앞,67,36.345334,127.335073,#F781BF,15
신안인스빌리베라 앞,68,36.342508,127.346724,#F781BF,13
트리플시티 앞,69,36.342793,127.337476,#F781BF,13
도안휴먼시아 10단지 앞,70,36.338048,127.338356,#A65628,14
대전지방국세청 앞,71,36.37217,127.427469,#E41A1C,12
대전동부경찰서 앞,72,36.371626,127.428988,#FFFF33,12
대전중앙병원 앞,73,36.36719,127.428883,#FF7F00,10
대전중리시장 앞,74,36.366555,127.426482,#FF7F00,12
보람아파트앞,75,36.367574,127.430806,#FF7F00,12
선비마을 입구,76,36.367246,127.442093,#FF7F00,12
선비마을 3단지 앞,77,36.36836,127.440312,#FF7F00,12
중리동,78,36.363177,127.431284,#FF7F00,12
수도시설관리사업소 앞,79,36.362092,127.434465,#999999,12
송촌소방서앞,80,36.363617,127.441809,#984EA3,12
동춘당공원,81,36.364663,127.440966,#984EA3,14
선비마을 5단지 앞,82,36.36684,127.445945,#984EA3,12
유평초등학교 앞,83,36.330503,127.398008,#984EA3,12
강남한의원 앞,84,36.326242,127.392813,#984EA3,12
태평1동 주민센터 앞,85,36.326129,127.396967,#984EA3,12
삼부프라자 앞,86,36.323268,127.393631,#377EB8,12
쌍용예가아파트앞,87,36.322555,127.39745,#377EB8,14
태평초등학교 앞,88,36.322041,127.395508,#377EB8,12
버드내초등학교 앞,89,36.319017,127.392056,#377EB8,12
유등교,90,36.315687,127.387821,#377EB8,12
버드내네거리,91,36.316915,127.392467,#377EB8,10
서대전농협,92,36.3179,127.394698,#377EB8,12
서대전육교 앞,93,36.318994,127.400953,#377EB8,12
미리내아파트앞,94,36.316962,127.454608,#377EB8,12
판암역 1번출구,95,36.316915,127.459173,#377EB8,12
판암역 4번출구,96,36.317217,127.45905,#377EB8,12
가오고등학교 앞,97,36.310388,127.455611,#4DAF4A,11
은어송마을입구,98,36.305423,127.454544,#4DAF4A,12
홈플러스(가오점 건너편),99,36.306694,127.456829,#4DAF4A,13
홈플러스(가오점),100,36.306988,127.457129,#4DAF4A,12
은어송마을 4단지 앞,101,36.310061,127.461458,#4DAF4A,12
은어송마을 2단지 앞,102,36.303717,127.457698,#F781BF,9
남부평생교육문화센터,103,36.30407,127.458916,#F781BF,15
중앙과학관,104,36.375232,127.378133,#F781BF,10
카이스트 서쪽 쪽문,105,36.364177,127.358845,#A65628,15
카이스트 다솜관,106,36.367989,127.356852,#E41A1C,15
카이스트 세종관,107,36.370768,127.366645,#FFFF33,15
목원대,108,36.331955,127.337932,#FF7F00,15
서부농협본점 ,109,36.342378,127.387671,#FF7F00,15
용문4가,110,36.337569,127.392091,#FF7F00,9
순복음 교회(수침교 앞),111,36.335726,127.396603,#FF7F00,13
나르메아파트길건너,112,36.331931,127.385353,#FF7F00,15
가장교(성은사 앞),113,36.328502,127.388001,#FF7F00,13
태평동성당,114,36.329742,127.396777,#999999,13
한전건너편,115,36.357491,127.434317,#984EA3,13
홈플러스(동대전),116,36.35394,127.434754,#984EA3,13
동부네거리,117,36.350417,127.440376,#984EA3,13
복합터미널,118,36.348576,127.435076,#984EA3,13
용전동 천주교회앞,119,36.34952,127.432759,#984EA3,13
한국통신 용전지점 앞,120,36.353089,127.43219,#984EA3,13
용전동 주민센터 건너,121,36.357427,127.433048,#377EB8,12
한남대후문 입구,122,36.359669,127.431911,#377EB8,13
대덕경찰서앞,123,36.44694,127.406398,#377EB8,12
목상동주민센터앞,124,36.448472,127.412412,#377EB8,12
엑슬루타워 앞,125,36.449253,127.420131,#377EB8,10
신탄진 주민센터옆,126,36.451985,127.42887,#377EB8,10
신탄진역 앞,127,36.448623,127.429218,#377EB8,13
과선교버스정류장,128,36.443126,127.429411,#377EB8,13
신탄진고 4가,129,36.448472,127.435817,#377EB8,12
용정초등학교앞,130,36.45389,127.436737,#377EB8,13
에코공원앞,131,36.448772,127.444365,#377EB8,12
삼정3가,132,36.444265,127.434191,#4DAF4A,13
오룡역7번출구,133,36.322562,127.411996,#4DAF4A,13
중도일보사 앞,134,36.326058,127.407828,#4DAF4A,10
서대전역네거리(삼성디지털 프라자),135,36.320277,127.405811,#4DAF4A,13
중구청역4번출구(중구청의회),136,36.32549,127.420018,#4DAF4A,12
센트럴파크 302동 앞,137,36.31838,127.411655,#F781BF,13
센트럴파크 105동 앞,138,36.316476,127.407345,#F781BF,13
서대전지하철3번출구(대순진리회),139,36.3223,127.411634,#F781BF,13
대전시민대학 정문,140,36.326784,127.419699,#A65628,16
대전 세무서앞,141,36.330883,127.419077,#E41A1C,13
