"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"201301","47","30.1858156028369","0.852753217919547","23","27.2695652173913","0","24","32.9805555555556","1.66997505175911"
"201302","81","31.3763713080169","1.76254852245667","42","17.4095238095238","0","39","47.2306306306306","3.66067770048693"
"201303","153","37.5245614035088","1.36572714552135","61","39.3024590163934","0","92","36.3327838827839","2.27126362244311"
"201304","157","40.4445887445887","1.9056453290283","59","38.5833333333333","0","98","41.6005263157895","3.05292159854534"
"201305","249","40.2059620596206","1.32646472046754","113","36.5908554572271","0","136","43.2774436090226","2.42860084850307"
"201306","660","39.7614008179959","1.07227257288494","342","44.733918128655","0","318","34.2755913978495","2.22547137768572"
"201307","293","43.189098173516","1.69831022176606","96","56.5225694444444","0","197","36.6584183673469","2.52591317247439"
"201308","252","34.8522","1.4435186787647","116","32.3227011494253","0","136","37.0419154228856","2.67475519888753"
"201309","219","42.2717656012177","1.46721832141953","78","48.3301282051282","0","141","38.9203309692671","2.27887100986438"
"201310","231","42.5818049490539","1.8842069056941","96","41.525","0","135","43.3446115288221","3.22408737196547"
"201311","115","23.7222713864307","1.67412716959045","39","11.1017094017094","0","76","30.3736486486487","2.53321874345924"
"201312","84","35.0462025316456","1.92541783827353","37","26.0252252252252","0","47","42.993253968254","3.44117230670163"
"201401","105","17.8986928104575","1.23356925107152","60","3.75444444444444","0","45","38.1047619047619","2.8783282525002"
"201402","151","40.9294444444444","1.8937930333707","66","24.4270202020202","0","85","53.8956349206349","3.36426762398794"
"201403","175","26.533918128655","1.58796575688918","73","18.4840182648402","0","102","32.5302721088435","2.72445105348634"
"201404","280","31.6464975845411","1.34027847633531","109","34.3715596330275","0","171","29.8678642714571","2.19460803142624"
"201405","382","36.9464035087719","1.49197983763155","138","40.3278985507246","0","244","35.0181129476584","2.33580449989857"
"201406","357","44.201044634378","1.55545221334277","172","52.8924418604651","0","185","35.8495344506518","3.00160237926144"
"201407","394","38.2324829931973","1.58110503317536","168","36.7391865079365","0","226","39.3524553571429","2.75643974810218"
"201408","286","39.2368421052632","1.2998283188554","123","35.5214092140921","0","163","42.0578189300412","2.28068036314506"
"201409","374","35.9849505840072","1.39385717813425","135","42.5593827160494","0","239","32.2241525423729","2.18118236243602"
"201410","314","31.5136752136752","1.69847011441259","106","23.8783018867925","0","208","35.4425566343042","2.5640366150267"
"201411","218","32.6649769585253","1.63807274970871","82","12.0508130081301","0","136","45.1861728395062","2.6257342605625"
"201412","85","21.022619047619","1.16441872376385","52","7.36153846153846","0","33","43.221875","2.9992603490887"
